state, university, campus, type, total-enrollment, genetics-courses, medical-genetics-courses
Tamaulipas, Universidad Autonoma de Tamaulipas, Unidad Matamoros, Public,1031,1,0
Tamaulipas, Universidad del Noreste, , Private,938,1,0
Tamaulipas, Universidad del Valle de Mexico, Campus Ciudad Reynosa, Private,596,1,0
Tamaulipas, Universidad del Valle de Mexico, Campus Ciudad Victoria, Private,658,1,0
Tamaulipas, Universidad La Salle, Campus Ciudad Victoria, Private,329,1,0
Tamaulipas, Universidad Mexico Americana del Norte, , Private,705,1,0
Tlaxcala, Universidad Autonoma de Tlaxcala, , Public,852,1,1
Veracruz, Universidad Cristobal Colon, , Private,339,3,0
Veracruz, Universidad del Valle de Mexico, Campus Universidad Villa Rica, Private,852,1,0
Veracruz, Universidad Veracruzana, Unidad Ciudad Mendoza, Public,908,1,0
Veracruz, Universidad Veracruzana, Unidad Minatitlan, Public,510,1,0
Veracruz, Universidad Veracruzana, Unidad Poza Rica, Public,533,1,0
Veracruz, Universidad Veracruzana, Unidad Veracruz, Public,940,1,0
Veracruz, Universidad Veracruzana, Unidad Xalapa, Public,816,1,0
Yucatan, Universidad Anahuac, Campus Mayab, Private,729,1,1
Yucatan, Universidad Autonoma de Yucatan, , Public,1035,0,0
Yucatan, Universidad Marista de Merida, , Private,466,2,1
Zacatecas, Universidad Autonoma de Zacatecas, , Public,1810,1,0
